title,location,price,bedroom,bathroom,area,year_contruction,maintenance,housing_type,operation_type,date_pub,url
Apartamento en alquiler en Ur. Armendariz,"Ur. Armendariz, Miraflores, Lima, Lima ",USD950,3 dormitorios,3 baños,180 m²,1983,S/.450,Apartamento,Alquiler,Hace 2 días - Publicado por KRB Agencia Perú,https://www.properati.com.pe/detalle/14032-32-ae0a-93af099556a3-5340ad5b-b68c-4891
Apartamento en alquiler en Ur. Risso,"Ur. Risso, Lince, Lima, Lima ","S/.2,600",1 dormitorio,2 baños,60 m²,,S/.330,Apartamento,Alquiler,Hace 2 días - Publicado por KRB Agencia Perú,https://www.properati.com.pe/detalle/14032-32-18f5-9866cb5c4148-4615cdf5-9a34-4656
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ",USD850,2 dormitorios,2 baños,84 m²,2012,S/.400,Apartamento,Alquiler,"Hace 2 días, 1 hora - Publicado por Intermediación Inmobiliaria – CHS",https://www.properati.com.pe/detalle/14032-32-fb0c-a754f883812a-3094fa58-8746-4ecb
Apartamento en alquiler en San Martín de Porres,"San Martín de Porres, Lima, Lima ",S/.750,2 dormitorios,1 baño,60 m²,,,Apartamento,Alquiler,"Hace 2 días, 23 horas - Publicado por RealWasi Inmobiliaria",https://www.properati.com.pe/detalle/14032-32-dccb-8f6bac6daaa8-3480d4b0-8b2d-120d
Apartamento en alquiler en Ur. Las Gardenias,"Ur. Las Gardenias, Santiago de Surco, Lima, Lima ","S/.2,350",2 dormitorios,2 baños,50 m²,,S/.230,Apartamento,Alquiler,"Hace 3 días, 2 horas - Publicado por Fiorella Saldarriaga",https://www.properati.com.pe/detalle/14032-32-dcab-63cb2fb9d93c-4fbec2c0-b78f-120d
Apartamento en alquiler en Santa Cruz,"Santa Cruz, Urb Santa Cruz, Provincia de Lima, Provincia de Lima ","USD1,500",3 dormitorios,2 baños,115 m²,2008,S/.900,Apartamento,Alquiler,6 oct. 2022 - Publicado por HABITALE BIENES RAICES,https://www.properati.com.pe/detalle/14032-32-6d61-cee736aea1bb-3818e47d-a30f-4dd1
Apartamento en alquiler en Santiago de Surco,"Santiago de Surco, Lima, Lima ","USD1,550",3 dormitorios,3 baños,217 m²,,,Apartamento,Alquiler,"Hace 2 semanas, 1 día - Publicado por GARRIDO SECLEN RICARDY BUENAVENTURA",https://www.properati.com.pe/detalle/14032-32-d310-5da6e15e3d6a-2c461db0-be98-120d
Apartamento en alquiler en Ur. Los Patricios (San Felipe),"Ur. Los Patricios (San Felipe), Jesús María, Lima, Lima ",USD800,3 dormitorios,2 baños,76 m²,2005,S/.268,Apartamento,Alquiler,28 feb. 2023 - Publicado por HABITALE BIENES RAICES,https://www.properati.com.pe/detalle/14032-32-998c-974062cc4d8a-2245523a-95d2-414d
Apartamento en alquiler en Pj. Huascaran,"Pj. Huascaran, Rimac, Lima, Lima ","S/.1,400",3 dormitorios,1 baño,81 m²,2023,,Apartamento,Alquiler,"Hace 2 días, 5 horas - Publicado por REMAX FAMILY",https://www.properati.com.pe/detalle/14032-32-7512-1e4069216b21-26bc067e-b9d6-4d32
Apartamento en alquiler en Ur. Club Golf De Los Incas,"Ur. Club Golf De Los Incas, Santiago de Surco, Lima, Lima ","USD1,200",3 dormitorios,3 baños,230 m²,2012,S/.500,Apartamento,Alquiler,"Hace 2 días, 4 horas - Publicado por CONFIAR Consultores Inmobiliarios Figari & Aramburú ",https://www.properati.com.pe/detalle/14032-32-a059-a8ca4d48878-d3de482-85bb-4409
Apartamento en alquiler en Ur. Leuro,"Ur. Leuro, Miraflores, Lima, Lima ","USD1,300",1 dormitorio,2 baños,105 m²,2016,S/.600,Apartamento,Alquiler,"Hace 3 días, 2 horas - Publicado por Olga esmeralda Rey Flores",https://www.properati.com.pe/detalle/14032-32-e640-bef84ba3d548-1ee031d5-b5bf-4b08
Apartamento en alquiler en Chorrillos,"Chorrillos, Lima, Lima ","S/.1,800",3 dormitorios,2 baños,80 m²,,,Apartamento,Alquiler,"Hace 2 días, 22 horas - Publicado por RealWasi Inmobiliaria",https://www.properati.com.pe/detalle/14032-32-dccc-c194ae21ac89-2f5245e0-9642-120d
Apartamento en alquiler en Jesús María,"Jesús María, Lima, Lima ","S/.2,500",3 dormitorios,2 baños,75 m²,2021,S/.300,Apartamento,Alquiler,"Hace 4 días, 4 horas - Publicado por RE/MAX Principal pe",https://www.properati.com.pe/detalle/14032-32-1a6c-43ab4139a731-5d99686-86d8-49e4
Apartamento en alquiler en Ur. San Miguel,"Ur. San Miguel, San Miguel, Lima, Lima ","S/.2,700",3 dormitorios,2 baños,90 m²,2005,S/.180,Apartamento,Alquiler,"Hace 3 días, 1 hora - Publicado por Inmuebles Leyla",https://www.properati.com.pe/detalle/14032-32-7cd9-99c3c4598037-9e802d3-b1e8-421a
Apartamento en alquiler en Ur. Jacaranda,"Ur. Jacaranda, San Borja, Lima, Lima ","S/.2,800",2 dormitorios,1 baño,80 m²,2019,S/.280,Apartamento,Alquiler,16 feb. 2023 - Publicado por Faure Cruz,https://www.properati.com.pe/detalle/14032-32-2095-4915e395f2bf-f52b4ebc-b074-4a17
Apartamento en alquiler en Ag. Angamos,"Ag. Angamos, Jesús María, Lima, Lima ","USD1,300",6 dormitorios,3 baños,238 m²,1993,,Apartamento,Alquiler,"Hace 3 días, 8 horas - Publicado por Gustavo Jhonatan Santillan Chaupis",https://www.properati.com.pe/detalle/14032-32-dc7b-fd4c3bba2587-ace72d0-92c0-120d
Apartamento en alquiler en Santiago de Surco,"Santiago de Surco, Lima, Lima ","S/.1,700",3 dormitorios,2 baños,50 m²,1998,S/.100,Apartamento,Alquiler,"Hace 6 días, 7 horas - Publicado por JORGE ERNESTO SALAS GONZALES",https://www.properati.com.pe/detalle/14032-32-ef52-93be0575c29-ec70b2a1-b4f8-419d
Apartamento en alquiler en Ur. Confraternidad,"Ur. Confraternidad, Barranco, Lima, Lima ","USD2,000",3 dormitorios,2 baños,197 m²,2013,S/.880,Apartamento,Alquiler,"Hace 6 días, 8 horas - Publicado por SANDRA USQUIANO",https://www.properati.com.pe/detalle/14032-32-5601-688a962954fa-ed8f979a-939b-436c
